HB030,HB030_new
108947,10894700
108948,10894800
108949,10894900
108950,10895000
108951,10895100
108954,10895400
108957,10895700
108958,10895800
108959,10895900
108961,10896100
108962,10896200
108963,10896300
108964,10896400
108965,10896500
108966,10896600
108968,10896800
108973,10897300
108975,10897500
108976,10897600
108977,10897700
108981,10898100
108982,10898200
108983,10898300
108989,10898900
108991,10899100
108993,10899300
108995,10899500
108998,10899800
108999,10899900
116455,10645501
116622,10662201
116645,10664501
116854,10685401
117045,10704501
117183,10718301
117644,10764401
118449,10844901
118550,10855001
118599,10859901
118796,10879601
200005,20000500
200006,20000600
200007,20000700
200008,20000800
200009,20000900
200011,20001100
200014,20001400
200015,20001500
200019,20001900
200020,20002000
200022,20002200
200023,20002300
200024,20002400
200026,20002600
200027,20002700
200028,20002800
200030,20003000
200031,20003100
200036,20003600
200041,20004100
200043,20004300
200046,20004600
200048,20004800
200049,20004900
200052,20005200
200053,20005300
200054,20005400
200055,20005500
200056,20005600
200057,20005700
200058,20005800
200059,20005900
200060,20006000
200061,20006100
200062,20006200
200063,20006300
200067,20006700
200070,20007000
200073,20007300
200080,20008000
200082,20008200
200085,20008500
200087,20008700
200088,20008800
200089,20008900
200091,20009100
200093,20009300
200095,20009500
200096,20009600
200099,20009900
200101,20010100
200103,20010300
200105,20010500
200106,20010600
200107,20010700
200108,20010800
200109,20010900
200112,20011200
200113,20011300
200114,20011400
200119,20011900
200120,20012000
200123,20012300
200124,20012400
200125,20012500
200126,20012600
200127,20012700
200128,20012800
200129,20012900
200130,20013000
200131,20013100
200133,20013300
200134,20013400
200135,20013500
200137,20013700
200138,20013800
200141,20014100
200144,20014400
200145,20014500
200146,20014600
200147,20014700
200148,20014800
200149,20014900
200153,20015300
200155,20015500
200157,20015700
200160,20016000
200161,20016100
200166,20016600
200167,20016700
200168,20016800
200170,20017000
200171,20017100
200172,20017200
200173,20017300
200174,20017400
200175,20017500
200176,20017600
200177,20017700
200179,20017900
200180,20018000
200181,20018100
200182,20018200
200188,20018800
200190,20019000
200193,20019300
200199,20019900
200200,20020000
200210,20021000
200212,20021200
200213,20021300
200214,20021400
200218,20021800
200219,20021900
200220,20022000
200221,20022100
200223,20022300
200224,20022400
200227,20022700
200228,20022800
200230,20023000
200231,20023100
200233,20023300
200237,20023700
200238,20023800
200239,20023900
200240,20024000
200244,20024400
200247,20024700
200252,20025200
200253,20025300
200254,20025400
200255,20025500
200256,20025600
200257,20025700
200262,20026200
200263,20026300
200264,20026400
200267,20026700
200268,20026800
200270,20027000
200271,20027100
200272,20027200
200274,20027400
200276,20027600
200279,20027900
200281,20028100
200284,20028400
200287,20028700
200288,20028800
200289,20028900
200290,20029000
200291,20029100
200303,20030300
200304,20030400
200306,20030600
200310,20031000
200311,20031100
200312,20031200
200315,20031500
200318,20031800
200323,20032300
200325,20032500
200329,20032900
200333,20033300
200337,20033700
200340,20034000
200342,20034200
200343,20034300
200344,20034400
200345,20034500
200346,20034600
200351,20035100
200357,20035700
200358,20035800
200359,20035900
200361,20036100
200365,20036500
200366,20036600
200367,20036700
200368,20036800
200369,20036900
200370,20037000
200371,20037100
200372,20037200
200374,20037400
200375,20037500
200376,20037600
200377,20037700
200379,20037900
200380,20038000
200381,20038100
200386,20038600
200388,20038800
200389,20038900
200391,20039100
200392,20039200
200393,20039300
200395,20039500
200396,20039600
200397,20039700
200398,20039800
200400,20040000
200401,20040100
200402,20040200
200403,20040300
200404,20040400
200405,20040500
200406,20040600
200408,20040800
200409,20040900
200411,20041100
200415,20041500
200416,20041600
200417,20041700
200418,20041800
200420,20042000
200421,20042100
200422,20042200
200423,20042300
200424,20042400
200425,20042500
200426,20042600
200427,20042700
200428,20042800
200429,20042900
200430,20043000
200431,20043100
200432,20043200
200433,20043300
200434,20043400
200436,20043600
200437,20043700
200438,20043800
200440,20044000
200441,20044100
200444,20044400
200446,20044600
200448,20044800
200451,20045100
200455,20045500
200457,20045700
200461,20046100
200464,20046400
200465,20046500
200466,20046600
200468,20046800
200470,20047000
200471,20047100
200473,20047300
200474,20047400
200476,20047600
200477,20047700
200478,20047800
200479,20047900
200481,20048100
200484,20048400
200485,20048500
200486,20048600
200488,20048800
200489,20048900
200490,20049000
200491,20049100
200492,20049200
200493,20049300
200494,20049400
200497,20049700
200498,20049800
200499,20049900
200501,20050100
200502,20050200
200504,20050400
200506,20050600
200508,20050800
200509,20050900
200510,20051000
200512,20051200
200513,20051300
200514,20051400
200517,20051700
200519,20051900
200520,20052000
200521,20052100
200522,20052200
200523,20052300
200524,20052400
200525,20052500
200526,20052600
